mcc,mnc,lac,cellid,radio,lat,lon,range,samples
310,120,3579,100040,LTE,38.153668,-122.278321,500,50
310,260,7615,100041,LTE,37.89423,-122.356767,1000,151
310,410,9565,100042,LTE,37.37172,-122.730513,2000,55
310,410,7484,100043,LTE,37.628001,-122.72354,2000,120
310,260,1152,100044,LTE,37.538862,-121.808466,500,21
310,260,6718,100045,LTE,37.370867,-122.530669,1000,97
310,120,5956,100046,NR,37.69294,-122.000195,500,173
310,120,2697,100047,LTE,37.895727,-122.72727,2000,32
310,260,5462,100048,LTE,38.218416,-122.840267,1000,186
310,410,9280,100049,NR,37.480752,-121.910287,2000,16
310,410,1722,100050,LTE,38.08222,-122.189326,2000,200
310,260,8239,100051,NR,38.440532,-121.600906,5000,146
310,120,3442,100052,NR,37.913083,-122.409793,500,97
310,260,1685,100053,LTE,37.602776,-122.531619,2000,13
310,260,2684,100054,LTE,37.968401,-122.582365,5000,161
310,260,3662,100055,LTE,37.77228,-123.331624,5000,9
310,410,5065,100056,LTE,38.11653,-121.598263,1000,182
310,410,4644,100057,LTE,38.32727,-121.909759,5000,92
310,260,4652,100058,LTE,37.563014,-121.749311,1000,105
310,410,6753,100059,NR,37.444581,-121.714594,5000,176
310,260,2889,100060,LTE,38.205729,-122.477991,1000,151
310,260,8119,100061,LTE,38.042249,-122.492684,2000,114
310,410,4114,100062,LTE,37.445858,-122.715695,500,184
310,120,4228,100063,LTE,37.384655,-122.22991,5000,20
310,120,6143,100064,NR,38.522731,-122.703795,500,187
310,120,7691,100065,LTE,38.111795,-122.698963,5000,181
310,410,7211,100066,UMTS,37.723224,-122.2192,1000,160
310,260,5978,100067,LTE,37.450778,-122.591172,1000,113
310,410,8618,100068,LTE,37.881424,-122.952097,5000,175
310,120,3780,100069,NR,37.864494,-121.978258,500,75
310,410,2530,100070,GSM,37.281707,-122.474296,1000,175
310,260,1400,100071,LTE,37.539801,-121.745972,1000,124
310,410,7790,100072,NR,37.316647,-122.859765,1000,186
310,260,3417,100073,NR,37.639716,-122.860262,500,195
310,410,4585,100074,LTE,38.240891,-123.05954,5000,15
310,260,8478,100075,LTE,37.043428,-122.734721,5000,173
310,410,8251,100076,NR,37.33562,-122.518874,5000,143
310,410,8373,100077,LTE,37.580601,-122.340892,1000,166
310,410,4919,100078,LTE,37.671257,-121.735934,5000,22
310,410,6238,100079,NR,37.716804,-122.704183,500,38
310,260,4505,100080,LTE,37.97563,-122.100159,5000,107
310,260,4388,100081,LTE,37.58415,-122.02801,5000,200
310,120,7232,100082,NR,37.308722,-122.730337,500,93
310,410,9818,100083,GSM,37.670254,-122.040105,1000,127
310,260,7371,100084,LTE,37.846408,-121.99929,5000,188
310,260,9751,100085,LTE,37.974789,-122.032874,5000,154
310,120,8022,100086,LTE,37.699477,-122.456311,5000,49
310,260,8449,100087,LTE,38.099695,-122.298057,2000,197
310,410,5133,100088,LTE,37.980505,-122.64106,5000,7
310,410,4673,100089,NR,37.774198,-122.55023,500,169
310,260,4266,100090,LTE,37.859983,-122.394265,1000,64
310,120,4571,100091,LTE,38.140317,-121.995323,2000,199
310,120,2876,100092,GSM,37.450367,-122.018901,1000,82
310,410,7149,100093,LTE,37.837016,-122.362086,1000,22
310,260,2669,100094,UMTS,37.222763,-122.83162,2000,178
310,120,1672,100095,LTE,37.631327,-122.539263,5000,172
310,410,1207,100096,LTE,37.489288,-122.074293,5000,30
310,410,3506,100097,LTE,37.471503,-122.265518,1000,190
310,120,9817,100098,GSM,37.272159,-122.4984,5000,122
310,410,6280,100099,LTE,37.253537,-122.164105,500,74
310,410,7209,100100,LTE,37.967495,-122.621891,500,129
310,260,6813,100101,LTE,37.90631,-122.623528,2000,74
310,410,1166,100102,NR,38.172211,-122.844085,1000,24
310,120,4937,100103,UMTS,37.794306,-122.011455,5000,168
310,260,2524,100104,LTE,37.684273,-122.843098,1000,106
310,120,7046,100105,NR,37.66786,-122.738807,2000,111
310,410,8434,100106,LTE,38.217346,-122.430104,2000,67
310,410,2958,100107,GSM,37.843143,-121.784784,1000,52
310,120,9595,100108,NR,37.859332,-121.969356,2000,28
310,410,3939,100109,LTE,37.920466,-122.710516,500,184
310,260,5786,100110,UMTS,37.501044,-122.487575,1000,166
310,260,5658,100111,NR,38.050415,-122.761272,5000,115
310,410,8827,100112,LTE,37.284859,-121.5455,500,105
310,120,1878,100113,LTE,37.316381,-122.392201,1000,147
310,260,2940,100114,NR,37.915108,-122.472439,5000,158
310,120,7232,100115,LTE,37.375015,-122.734738,5000,79
310,410,1986,100116,NR,38.453058,-123.354265,500,198
310,120,2330,100117,LTE,37.838067,-122.153627,1000,47
310,410,8381,100118,UMTS,37.581477,-122.494297,5000,77
310,410,8438,100119,LTE,38.057396,-122.352244,1000,70
310,120,4241,100120,LTE,37.890328,-122.96393,500,142
310,410,3330,100121,LTE,37.806236,-122.195027,500,45
310,120,5728,100122,LTE,37.899448,-122.938063,500,122
310,410,9199,100123,NR,37.570854,-122.994384,5000,115
310,410,6280,100124,NR,37.862247,-122.364159,2000,9
310,120,1339,100125,GSM,38.526359,-121.864285,2000,150
310,410,9502,100126,NR,38.344312,-122.251304,5000,74
310,120,9056,100127,LTE,37.968691,-121.937077,5000,92
310,260,3634,100128,LTE,37.516567,-122.22771,5000,180
310,410,1601,100129,LTE,37.259185,-122.402616,500,83
310,410,9431,100130,LTE,37.772281,-122.22086,5000,108
310,120,9167,100131,NR,38.173714,-122.257877,5000,197
310,260,5719,100132,LTE,38.036415,-122.318932,5000,34
310,260,3594,100133,LTE,38.260367,-122.317642,500,144
310,260,8560,100134,LTE,37.565771,-122.263456,1000,130
310,120,5479,100135,LTE,38.040033,-122.555863,5000,123
310,410,4122,100136,NR,37.792349,-121.91341,1000,20
310,410,6568,100137,NR,37.673384,-121.722294,2000,3
310,120,9022,100138,LTE,37.714513,-122.089683,5000,140
310,120,7180,100139,LTE,37.461762,-122.384076,2000,51
310,410,4826,100140,GSM,38.031574,-122.455008,5000,14
310,410,7325,100141,NR,37.610351,-122.007577,1000,129
310,120,6439,100142,LTE,37.952313,-122.464957,5000,28
310,120,3361,100143,LTE,37.39328,-122.491152,1000,22
310,410,7512,100144,NR,36.868404,-122.218335,500,87
310,410,6188,100145,NR,38.190568,-123.053422,5000,141
310,120,5708,100146,LTE,37.903335,-122.385718,500,114
310,120,2646,100147,LTE,38.361054,-122.511145,1000,180
310,410,1919,100148,LTE,37.748956,-122.327092,2000,98
310,410,3950,100149,LTE,37.537443,-122.293126,1000,23
310,120,4945,100150,NR,37.50938,-122.668809,1000,62
310,410,1153,100151,LTE,37.514916,-122.345395,2000,176
310,410,5901,100152,NR,37.643624,-122.464626,5000,179
310,260,7302,100153,NR,37.774483,-121.646604,500,63
310,410,5837,100154,LTE,37.532366,-122.163545,5000,73
310,120,1803,100155,NR,38.474515,-122.378682,5000,76
310,410,4588,100156,NR,37.815661,-122.70491,1000,161
310,120,3240,100157,NR,37.772586,-121.747963,500,163
310,410,1546,100158,NR,37.592494,-122.692875,2000,190
310,410,7807,100159,LTE,38.295253,-121.774755,1000,36
310,410,9697,100160,NR,37.937676,-123.216003,2000,45
310,410,5835,100161,GSM,37.746305,-121.673668,2000,32
310,260,7511,100162,NR,37.639141,-122.388114,2000,26
310,120,3024,100163,LTE,37.789716,-122.484196,2000,175
310,410,7086,100164,LTE,37.773205,-122.731307,1000,123
310,120,6374,100165,NR,38.492754,-122.28933,1000,168
310,120,5951,100166,NR,38.37637,-122.131037,5000,32
310,410,9071,100167,LTE,38.315289,-121.67499,500,63
310,410,7078,100168,UMTS,37.918428,-122.559926,5000,153
310,410,2622,100169,NR,37.765053,-122.650888,5000,74
310,410,8285,100170,LTE,38.104566,-122.340842,2000,28
310,120,6876,100171,LTE,38.107408,-122.465157,5000,73
310,410,2501,100172,NR,37.840871,-122.229641,1000,167
310,260,6464,100173,LTE,37.178681,-123.237741,1000,147
310,120,4394,100174,NR,37.95785,-121.696236,1000,62
310,120,1046,100175,LTE,37.681196,-122.220357,1000,36
310,260,1422,100176,LTE,37.168297,-122.5984,500,94
310,410,1258,100177,LTE,37.839041,-122.705016,2000,16
310,260,2041,100178,NR,38.030738,-122.12048,5000,95
310,120,4629,100179,NR,37.607284,-122.43537,500,189
310,120,5941,100180,LTE,37.920605,-123.205399,500,18
310,410,2768,100181,NR,38.453417,-122.426286,5000,21
310,260,2076,100182,LTE,38.023744,-122.628033,2000,162
310,410,7240,100183,NR,37.479088,-122.793651,2000,119
310,120,2874,100184,NR,37.403905,-122.434194,1000,113
310,410,8430,100185,LTE,37.534387,-122.333048,5000,189
310,120,5176,100186,LTE,38.080173,-122.182024,1000,178
310,260,2527,100187,LTE,37.890402,-122.488777,500,193
310,120,1982,100188,NR,37.729907,-123.148635,2000,174
310,120,7929,100189,UMTS,38.010081,-122.159814,500,76
310,120,9313,100190,LTE,37.511795,-122.639051,1000,171
310,410,7022,100191,LTE,37.100629,-122.332803,2000,149
310,120,1430,100192,NR,37.830206,-122.00061,2000,10
310,410,6567,100193,LTE,38.005723,-121.854976,500,49
310,410,2140,100194,LTE,38.084319,-122.796621,500,26
310,410,8432,100195,LTE,37.768949,-122.697736,1000,97
310,120,2391,100196,LTE,37.65784,-122.091401,1000,43
310,260,5458,100197,LTE,37.778016,-122.547154,5000,127
310,260,9394,100198,LTE,37.491815,-122.677181,2000,113
310,120,8972,100199,NR,38.179128,-122.03285,2000,14
310,260,1125,100200,LTE,37.960917,-121.284896,2000,57
310,410,6375,100201,LTE,37.839624,-123.095271,500,130
310,410,9725,100202,UMTS,37.770818,-122.66801,1000,131
310,410,2180,100203,LTE,37.290096,-122.633644,500,114
310,410,8033,100204,NR,38.558353,-122.313474,5000,184
310,410,1341,100205,LTE,37.590638,-122.674415,1000,161
310,410,2443,100206,LTE,37.256259,-122.267597,500,65
310,260,7484,100207,LTE,37.449394,-122.260292,2000,59
310,120,2868,100208,NR,37.669022,-122.209009,1000,92
310,120,3419,100209,LTE,37.251537,-121.607996,500,40
310,260,2234,100210,LTE,37.766799,-122.172638,5000,121
310,410,6295,100211,NR,37.791412,-123.094794,2000,41
310,120,5961,100212,LTE,37.409008,-122.253116,500,93
310,410,1616,100213,LTE,37.473467,-122.435292,2000,76
310,260,9307,100214,LTE,38.394637,-122.04876,5000,151
310,260,8368,100215,NR,37.19059,-122.656582,1000,85
310,260,8381,100216,LTE,37.448649,-122.70864,2000,185
310,260,5059,100217,UMTS,38.210214,-122.128001,5000,115
310,410,7108,100218,LTE,37.300201,-122.502074,5000,107
310,260,6482,100219,LTE,37.855676,-123.015216,2000,27
310,410,3463,100220,LTE,37.451579,-122.560256,500,152
310,410,7421,100221,LTE,37.371797,-123.183103,500,82
310,410,3093,100222,UMTS,37.306271,-122.627264,500,168
310,260,6940,100223,LTE,37.574984,-122.837832,1000,57
310,260,4711,100224,LTE,37.449726,-121.847661,1000,22
310,120,9843,100225,UMTS,37.599934,-121.7437,500,172
310,260,7172,100226,LTE,37.465429,-121.836211,1000,49
310,260,8170,100227,LTE,38.068892,-123.018514,5000,96
310,410,5668,100228,GSM,37.659849,-122.683015,5000,62
310,410,4178,100229,LTE,37.480551,-122.492403,5000,121
310,120,9641,100230,LTE,37.848896,-123.10835,1000,54
310,410,1854,100231,NR,37.83537,-122.626504,5000,98
310,120,3042,100232,LTE,37.621521,-122.481937,500,198
310,120,3414,100233,LTE,37.979122,-122.050025,500,59
310,260,7797,100234,LTE,38.070911,-123.178761,5000,131
310,260,7142,100235,LTE,37.531993,-122.138146,500,84
310,120,6493,100236,LTE,38.38181,-122.741403,1000,12
310,120,3273,100237,GSM,37.623646,-121.686804,5000,117
310,260,5193,100238,LTE,37.205266,-122.995879,1000,143
310,410,2821,100239,GSM,38.221047,-122.62044,2000,63
310,410,8489,100240,LTE,37.740315,-122.30068,500,130
310,120,4963,100241,UMTS,37.722594,-122.460988,1000,77
310,260,7825,100242,LTE,37.338441,-122.181758,500,137
310,120,9914,100243,NR,37.904273,-122.443147,500,102
310,410,7116,100244,LTE,37.847963,-122.50467,500,94
310,120,2698,100245,GSM,37.85204,-122.776513,2000,37
310,120,3868,100246,GSM,38.1978,-122.281169,5000,181
310,260,2033,100247,UMTS,37.554876,-122.385273,5000,12
310,260,1686,100248,LTE,37.746659,-122.304107,2000,134
310,410,5150,100249,LTE,37.258638,-121.980589,1000,76
310,120,6438,100250,LTE,37.395179,-121.874038,500,97
310,410,7334,100251,LTE,37.448517,-122.263386,1000,130
310,120,5369,100252,LTE,37.655666,-122.777084,5000,23
310,260,9937,100253,LTE,36.740224,-121.868464,2000,29
310,410,8305,100254,NR,38.225875,-122.135766,5000,45
310,260,6776,100255,NR,37.654529,-122.76536,5000,73
310,260,2229,100256,UMTS,37.378267,-122.963634,5000,96
310,260,1510,100257,LTE,37.194166,-122.474094,5000,11
310,120,7001,100258,LTE,37.955081,-122.210272,5000,148
310,410,7077,100259,LTE,37.972747,-122.372744,5000,198
310,410,7521,100260,LTE,37.943613,-122.318261,2000,66
310,260,9176,100261,NR,37.852648,-122.441905,5000,146
310,120,8311,100262,LTE,38.221337,-121.953609,2000,180
310,260,3223,100263,LTE,38.127023,-122.652374,5000,47
310,260,6236,100264,UMTS,38.080358,-122.677486,2000,184
310,410,3580,100265,UMTS,38.176487,-122.221,1000,95
310,260,3275,100266,LTE,37.597128,-122.430588,5000,9
310,410,3126,100267,NR,37.482163,-122.019598,500,19
310,120,8842,100268,NR,37.271363,-120.946787,5000,199
310,260,6194,100269,NR,37.389242,-122.137485,500,118
310,260,3981,100270,GSM,37.36213,-122.316544,1000,113
310,260,9488,100271,LTE,37.070382,-122.433889,2000,45
310,260,6669,100272,NR,38.204498,-121.624202,2000,23
310,120,5496,100273,LTE,37.77301,-121.851456,2000,160
310,260,3526,100274,LTE,37.370393,-122.518103,2000,147
310,260,1744,100275,NR,38.450481,-122.214973,2000,169
310,120,1496,100276,NR,37.886073,-121.913908,2000,167
310,120,7653,100277,LTE,38.162079,-122.542995,5000,21
310,410,8933,100278,LTE,37.697656,-122.636815,1000,90
310,120,6231,100279,UMTS,37.537407,-122.634507,2000,105
310,120,2739,100280,LTE,38.004245,-122.137576,1000,122
310,260,2586,100281,LTE,38.049532,-122.11516,2000,101
310,260,6364,100282,NR,38.014338,-122.733095,2000,51
310,120,8648,100283,NR,37.808751,-122.88759,2000,130
310,120,8491,100284,LTE,38.609561,-122.279502,1000,152
310,410,8710,100285,LTE,37.706996,-122.316573,500,30
310,120,6992,100286,GSM,37.117797,-122.071351,5000,96
310,120,4189,100287,LTE,37.883775,-122.383045,2000,21
310,120,5582,100288,NR,37.485531,-122.132787,500,35
310,410,6990,100289,GSM,38.120867,-122.481813,1000,53
310,260,1742,100290,LTE,37.491307,-122.662628,1000,185
310,410,3440,100291,NR,37.577238,-122.026464,1000,86
310,410,5902,100292,NR,38.053365,-122.565826,2000,132
310,120,5911,100293,NR,37.978707,-122.854086,500,97
310,410,6040,100294,UMTS,37.692505,-122.251229,500,155
310,120,4728,100295,UMTS,36.872046,-122.253249,500,152
310,120,7229,100296,LTE,37.351509,-122.359658,1000,11
310,260,1310,100297,LTE,37.286922,-122.692915,2000,110
310,410,9221,100298,GSM,38.086062,-121.920567,5000,191
310,120,4397,100299,NR,37.697426,-123.038796,2000,172
310,260,8531,100300,NR,37.437646,-122.366695,2000,142
310,120,5331,100301,NR,37.408168,-121.874044,5000,52
310,410,4684,100302,LTE,38.04789,-122.505093,2000,183
310,410,8861,100303,LTE,37.919944,-121.816773,2000,76
310,410,7464,100304,LTE,38.154011,-122.002824,1000,77
310,260,6674,100305,LTE,38.617225,-122.158863,2000,194
310,120,5442,100306,NR,37.54176,-122.384173,2000,38
310,260,4972,100307,LTE,38.219888,-122.00283,1000,166
310,410,8739,100308,LTE,37.792211,-122.236659,1000,4
310,260,7666,100309,NR,38.717472,-122.663611,5000,125
310,410,6262,100310,LTE,37.431014,-122.964204,500,199
310,120,1611,100311,LTE,38.161854,-122.140848,5000,48
310,410,9116,100312,LTE,37.862041,-122.463299,2000,12
310,260,6489,100313,LTE,38.227578,-122.389242,5000,167
310,260,9261,100314,LTE,37.381444,-122.544848,2000,52
310,120,8518,100315,NR,37.888181,-122.753644,2000,186
310,410,4164,100316,LTE,37.997999,-121.817804,5000,112
310,120,2562,100317,LTE,37.626491,-122.435735,1000,125
310,410,7284,100318,LTE,37.656992,-122.149089,5000,195
310,120,1187,100319,LTE,37.74154,-122.063703,2000,180
310,410,6026,100320,LTE,37.819563,-121.827769,5000,178
310,120,6095,100321,UMTS,37.031719,-122.432852,500,166
310,120,4618,100322,LTE,38.027864,-122.587614,1000,125
310,120,7121,100323,LTE,38.106864,-121.874613,5000,196
310,260,5054,100324,UMTS,37.27221,-122.557394,500,137
310,260,2838,100325,LTE,37.25922,-122.214505,1000,149
310,120,8239,100326,LTE,37.570577,-122.47416,1000,186
310,120,8298,100327,LTE,37.642448,-122.50656,5000,36
310,260,8575,100328,UMTS,37.389564,-122.456142,2000,188
310,260,4570,100329,NR,38.040616,-122.3776,500,14
310,120,1987,100330,LTE,37.292759,-122.132937,5000,11
310,260,7887,100331,LTE,37.72398,-122.174226,5000,117
310,410,2314,100332,UMTS,38.295492,-123.056008,1000,170
310,120,7439,100333,NR,37.887263,-122.574059,1000,189
310,260,5888,100334,LTE,38.433187,-122.520574,5000,139
310,410,6671,100335,LTE,37.591377,-122.220639,2000,51
310,260,1527,100336,NR,38.294384,-122.665709,5000,160
310,260,4943,100337,LTE,37.848018,-123.245039,500,28
310,120,1797,100338,LTE,37.458664,-122.661526,500,105
310,260,3295,100339,NR,37.370545,-122.232941,2000,62
310,410,6253,100340,LTE,38.002891,-123.013452,2000,39
310,410,5923,100341,LTE,38.197993,-122.462976,500,145
310,260,7999,100342,NR,38.457879,-122.681063,5000,15
310,120,7244,100343,NR,38.596465,-122.584545,2000,181
310,410,4012,100344,GSM,37.602795,-122.305276,5000,64
310,120,3365,100345,LTE,37.947918,-122.693943,500,146
310,120,3196,100346,LTE,37.464924,-122.202853,1000,68
310,410,7079,100347,LTE,37.920818,-121.86701,1000,16
310,120,1647,100348,LTE,37.714277,-121.824797,1000,197
310,260,8854,100349,LTE,37.329788,-122.7315,2000,80
310,260,2922,100350,GSM,37.834199,-122.43816,5000,65
310,410,4921,100351,NR,37.591986,-123.007292,2000,75
310,410,6053,100352,LTE,37.458533,-122.082688,2000,134
310,120,8692,100353,GSM,38.065391,-122.7203,2000,55
310,120,4625,100354,UMTS,37.526057,-122.119229,1000,7
310,120,7841,100355,LTE,37.719582,-121.486934,1000,53
310,260,9180,100356,NR,37.61033,-122.076596,2000,68
310,120,9037,100357,LTE,37.808888,-122.881025,1000,190
310,120,9954,100358,NR,37.834336,-122.653341,1000,141
310,120,1554,100359,LTE,38.652059,-122.480424,500,198
310,120,4791,100360,LTE,37.96511,-122.410676,1000,5
310,260,8916,100361,NR,37.850319,-121.986509,5000,7
310,260,1274,100362,NR,38.217835,-122.398356,2000,140
310,120,8054,100363,LTE,37.839337,-122.429891,500,27
310,120,9625,100364,LTE,37.518042,-122.464733,2000,71
310,410,8520,100365,NR,37.814466,-122.575273,1000,181
310,260,1519,100366,LTE,37.855185,-121.819177,5000,100
310,120,1154,100367,UMTS,37.489722,-122.102249,1000,24
310,410,2562,100368,NR,37.40153,-122.41902,500,61
310,120,8790,100369,LTE,37.944021,-121.637792,500,22
310,120,1539,100370,LTE,37.661207,-122.716728,2000,7
310,120,7525,100371,LTE,38.226811,-122.546937,2000,44
310,410,9856,100372,LTE,37.358305,-122.621741,5000,196
310,120,2284,100373,NR,37.735055,-123.125157,2000,16
310,260,6580,100374,NR,37.982863,-122.251946,5000,86
310,410,9038,100375,LTE,38.049753,-122.360244,2000,144
310,120,7227,100376,LTE,38.121915,-122.573136,2000,66
310,260,7225,100377,UMTS,37.741632,-122.580478,1000,192
310,260,1085,100378,LTE,37.520307,-122.177528,5000,95
310,260,4070,100379,LTE,37.786479,-122.604696,5000,145
310,260,2468,100380,LTE,37.437479,-122.557522,500,155
310,410,1202,100381,LTE,37.521899,-122.624093,5000,102
310,120,4977,100382,NR,37.877375,-123.051237,1000,178
310,410,5397,100383,NR,37.634798,-122.270421,1000,19
310,410,8933,100384,LTE,37.914707,-122.14047,2000,67
310,410,4203,100385,LTE,38.300075,-122.638804,500,37
310,410,7224,100386,LTE,37.487554,-121.50106,5000,88
310,120,3230,100387,LTE,37.183965,-122.10479,2000,157
310,410,3910,100388,LTE,37.996532,-122.506515,2000,77
310,120,4971,100389,LTE,37.72788,-122.983131,5000,74
310,260,4273,100390,NR,37.916787,-122.784672,1000,177
310,120,8563,100391,UMTS,37.783932,-122.512269,1000,115
310,260,7703,100392,UMTS,37.969788,-123.140399,5000,38
310,120,3525,100393,UMTS,37.600557,-122.640696,5000,99
310,410,7566,100394,NR,38.731901,-121.871053,5000,142
310,120,9796,100395,NR,38.670565,-122.178644,500,30
310,410,3725,100396,NR,37.835782,-123.000888,500,147
310,410,6432,100397,LTE,38.298639,-122.481266,500,5
310,120,9499,100398,NR,37.976802,-122.254821,1000,117
310,120,9199,100399,LTE,37.500424,-122.102224,2000,9
310,260,2901,100400,UMTS,37.483712,-122.383234,1000,92
310,260,9537,100401,NR,37.62862,-122.011384,2000,124
310,410,6225,100402,LTE,38.232835,-122.050976,2000,14
310,410,2791,100403,UMTS,37.838801,-122.603224,1000,192
310,260,6422,100404,NR,37.783187,-122.171898,5000,121
310,260,4053,100405,NR,37.815475,-122.01441,5000,104
310,260,8365,100406,NR,38.249797,-122.318719,5000,102
310,410,2025,100407,NR,38.018206,-122.411623,500,140
310,410,2867,100408,LTE,37.894847,-122.091605,5000,138
310,410,7431,100409,NR,38.071483,-122.493118,500,92
310,260,5873,100410,NR,37.543364,-122.064584,500,175
310,410,2916,100411,LTE,37.891684,-122.270013,2000,180
310,120,3258,100412,NR,37.993866,-122.111591,5000,111
310,120,3838,100413,NR,37.97022,-121.896785,1000,128
310,410,1878,100414,LTE,37.720474,-122.169565,500,127
310,120,9281,100415,NR,38.19558,-121.863347,5000,107
310,410,9006,100416,LTE,37.630183,-122.799606,500,147
310,410,1535,100417,LTE,38.356022,-122.288983,1000,140
310,120,9115,100418,NR,37.628202,-121.743019,500,149
310,410,9880,100419,GSM,38.230428,-121.965018,500,197
310,410,2677,100420,UMTS,37.689672,-122.912809,1000,79
310,410,6711,100421,LTE,37.838174,-122.491887,5000,33
310,120,6744,100422,UMTS,37.816175,-122.709764,5000,45
310,260,1972,100423,NR,37.317629,-122.886891,2000,139
310,410,5794,100424,LTE,37.690396,-121.931233,2000,134
310,260,3221,100425,GSM,38.300557,-122.474329,5000,18
310,260,3174,100426,LTE,38.477218,-122.457322,1000,185
310,120,7434,100427,NR,37.659367,-122.148139,1000,150
310,410,8405,100428,LTE,37.443496,-122.835123,500,106
310,410,8449,100429,NR,37.493628,-122.451037,2000,151
310,120,2526,100430,UMTS,38.378578,-122.408679,5000,165
310,260,9756,100431,LTE,37.605577,-122.74263,1000,112
310,410,5646,100432,LTE,37.960213,-122.83604,1000,147
310,120,1793,100433,LTE,38.144973,-122.983274,500,163
310,260,3588,100434,LTE,37.856959,-122.853147,5000,3
310,120,3161,100435,NR,38.144245,-122.441066,2000,43
310,260,6905,100436,LTE,38.279328,-123.000082,500,98
310,260,7493,100437,NR,37.515775,-122.916641,2000,188
310,120,2494,100438,UMTS,37.695047,-122.696952,500,3
310,120,4705,100439,NR,37.807021,-122.262498,5000,5
310,260,7919,100440,UMTS,38.095629,-122.400815,1000,125
310,120,2678,100441,LTE,38.085393,-122.25016,2000,97
310,260,3340,100442,LTE,37.914277,-122.56713,500,159
310,120,4490,100443,NR,37.553367,-122.767966,1000,108
310,260,2420,100444,LTE,37.492841,-122.707489,1000,195
310,410,8035,100445,LTE,38.180007,-121.96702,1000,66
310,120,5668,100446,GSM,37.750138,-122.253984,500,171
310,120,9348,100447,LTE,37.943615,-122.610223,5000,78
310,260,9108,100448,LTE,37.403024,-122.975703,500,64
310,120,1197,100449,LTE,37.305007,-122.417991,2000,36
310,410,6986,100450,NR,37.268082,-121.920519,1000,198
310,260,1273,100451,NR,36.757129,-122.20519,500,6
310,260,7520,100452,NR,37.767268,-122.305693,2000,163
310,410,7590,100453,LTE,37.635887,-123.083524,1000,74
310,260,3545,100454,NR,37.89777,-122.338016,2000,103
310,120,2083,100455,LTE,37.266283,-122.770289,5000,189
310,260,2412,100456,LTE,38.022367,-122.504605,500,119
310,120,3877,100457,LTE,37.685258,-122.506673,500,184
310,410,6680,100458,NR,37.809319,-122.373512,2000,45
310,410,2934,100459,GSM,37.371122,-121.939419,500,88
310,260,5308,100460,UMTS,37.872831,-122.717813,500,130
310,410,3734,100461,LTE,37.45718,-122.314396,1000,68
310,120,2889,100462,LTE,37.883265,-123.258241,500,14
310,260,8729,100463,LTE,37.809632,-122.468195,5000,41
310,260,7870,100464,LTE,38.15876,-121.502703,2000,66
310,410,2276,100465,NR,37.291786,-122.098728,2000,33
310,260,4656,100466,NR,37.020684,-122.430454,500,105
310,410,6090,100467,LTE,38.130274,-122.23162,500,144
310,410,5979,100468,UMTS,37.4514,-122.316373,1000,121
310,260,9954,100469,GSM,37.142083,-121.632312,1000,41
310,260,9872,100470,LTE,38.134174,-122.402937,500,88
